"","Adipose Tissue","Adrenal Gland","Blood Vessel","Bladder","Brain","Breast","Blood","Skin","Cervix Uteri","Colon","Esophagus","Fallopian Tube","Heart","Kidney","Liver","Lung","Salivary Gland","Muscle","Nerve","Ovary","Pancreas","Pituitary","Prostate","Small Intestine","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina"
"GPKOW",1.43630815169576e-12,4.43098806828499e-18,5.65621445966182e-308,0.000142716578253744,2.12652306178183e-19,1.42705222164746e-18,1.4846462569566e-43,1.01433649567814e-130,0.00152968891904185,0.689318167832856,0.975539446335881,0.00494568116861122,4.42459593286201e-305,5.05734155638162e-12,3.80159423574483e-97,2.35080093741765e-11,1.97268335845072e-20,0.115340705398784,2.08362574396147e-203,5.23303881572176e-05,3.41431925041783e-309,5.46892041190517e-23,0.0109474647623901,5.16893060681813e-22,0.00161030972580404,5.75627343941068e-26,1.56454074075022e-93,8.51026403688597e-31,5.02209177172012e-40,0.0030919117862173
"GPN3",1.69656508829679e-100,3.73347571072679e-18,2.2450309747247e-265,0.0070957183545289,0,4.25738319956702e-48,2.894570557321e-10,5.33548149214661e-20,0.0721764992451228,2.17483999689842e-29,0.0740561653493838,0.0308533105504409,3.21188628852475e-100,1.81715158120459e-06,8.47052325732516e-63,2.14257262412731e-16,2.03708849278035e-10,6.16576471156936e-51,2.20992026606973e-78,1.12194599751929e-45,1.28300462632565e-258,3.17669648592045e-26,0.674617337625696,1.44890050558711e-32,1.20153472364114e-20,1.92917061443066e-19,6.81097719845623e-141,1.0871781536978e-20,4.29563841051868e-22,0.398765789239129
"GRPEL1",2.25005480251503e-21,1.81497880869522e-68,0.879737378578936,0.562624227925924,1.29030333674224e-285,0.0178479673725448,0.0235097178698494,2.00769955446451e-74,0.271244939155597,1.56526614511515e-35,0.266847041217766,0.391625606630097,8.90961807049422e-47,0.656626909371808,3.84479703236762e-08,0.295209798036193,1.31890518064573e-23,6.75279780906763e-26,0.00299471544229822,0.063444760037871,6.76369996046706e-302,2.80786408862308e-35,2.75218381276145e-13,1.78670968899731e-27,2.23907078353469e-11,1.04698395122584e-12,7.35573960416914e-113,6.38967562621017e-83,5.25006815935096e-08,7.31654733712014e-07
"GRWD1",3.96894068623987e-43,0.000155847861189174,1.08644983445971e-10,0.048305318322734,0,4.39401019411237e-29,1.24552988317929e-25,1.21521005833663e-167,0.00704388826908599,4.9576760233793e-15,8.72591524933588e-23,0.00561966752532876,3.57106033403004e-256,1.79604660533903e-06,1.13789583523831e-26,3.42775689450278e-05,0.00984064424009082,0.000216629742627101,5.99836507586242e-89,2.09230337174665e-19,1.35464747464334e-101,6.08035358735777e-16,5.53121152887655e-19,1.63928543230224e-09,8.89918273939251e-29,2.3002431768959e-06,1.81702394335214e-28,1.41829361910065e-76,7.27216144051668e-33,4.06747282308426e-13
"GSPT1",3.97036601587436e-18,9.81876547643476e-14,5.51219767141009e-29,0.000226455594630968,0,2.48637867666564e-05,0.539976075105361,2.57291624360595e-41,0.0447491911635729,2.64308736519245e-14,8.20722556256528e-48,0.0421885679590929,2.75225876294881e-194,1.16612902304711e-09,6.15562471272823e-59,5.4869125436605e-64,0.00144499085567672,1.42135573108389e-72,0.00138017251287717,0.000919163729551774,6.06943962302212e-113,1.85429941907794e-76,4.52672886261797e-13,9.45993763078464e-13,0.530222238780409,0.764880079731672,8.34702972444796e-69,5.90381957203078e-50,0.000104340279868394,1.18794864777869e-05
"GTF2B",1.0255490065651e-46,0.0244597328373386,4.11146283570222e-118,0.00346719116533768,0,1.35633096081382e-24,4.53328773208798e-05,1.32803415185784e-202,1.3900079676717e-06,0.589357353415824,0.0818269533586437,0.00101011492487996,0,4.26927223969369e-12,9.20915779110382e-58,2.50151102652442e-89,0.730131632515023,3.02190204548427e-270,8.61189780138526e-106,8.64405811149614e-45,1.494705356609e-164,5.35334029442067e-09,0.685677784737771,0.000444482421203575,2.10089004307947e-67,3.57348741294536e-09,1.62902018259467e-16,6.01540361493748e-57,7.26428381573897e-32,8.21870366072383e-27
"GTF3C1",0,4.61041842534105e-16,1.00493151185496e-79,0.00139868527448556,5.86213983490723e-137,3.92427877749621e-80,9.83310392718979e-165,1.43934595004084e-292,0.00480093075803664,7.83726425006846e-110,7.23433806303782e-64,0.0215164605289268,4.04382784171583e-258,1.77595402374034e-11,4.84366299723199e-211,0.0166827161750929,0.00219174264838905,1.97425034038289e-12,6.32804754627496e-76,1.91898149401412e-23,7.14791692776082e-147,3.25706834086455e-80,1.75301205935618e-31,2.64019717525398e-45,5.52115911050897e-26,5.97176079750185e-52,2.7716329425256e-52,1.55712116340685e-115,1.12450738520655e-30,2.10442417893535e-24
"GTF3C3",3.53295204516502e-60,0.175980542833487,1.26368964991587e-11,4.39714130533114e-05,0,3.21519358714284e-43,6.14957778195544e-06,1.61045435803652e-220,0.00128159454467933,0.84000169504627,0.173148547719733,0.00690534310666869,1.65212411030163e-306,2.16162215774413e-09,2.16703651548833e-113,5.0622494326994e-14,0.110063778175113,1.42751604422842e-84,3.70359370014509e-147,8.39652217907008e-36,2.63674240268653e-114,1.57468805250865e-10,0.415468209841442,0.000854124325862093,1.75167956983258e-29,2.65876393082563e-09,3.87598646637612e-74,5.07581882286656e-68,6.43061650907698e-44,1.87380283412886e-14
"GTPBP4",8.33783218239246e-58,6.92836958564405e-19,3.14142629771663e-05,0.425511757811436,0,7.81200308488969e-22,0.989583231665817,7.39591608014316e-76,0.186993597286604,9.16504445370946e-27,0.0610251269551316,0.0760873416685149,6.12920995297261e-217,7.58427895026789e-16,4.87039650375655e-57,9.98603162821201e-19,8.13625882764854e-11,2.34516248487704e-15,1.5238931854166e-45,3.12207068624642e-12,1.45386576882109e-219,1.75442391115137e-06,0.112973049235021,6.41809681986132e-07,3.32184865230054e-08,7.88466179120751e-18,6.64260023482868e-114,0.0542209719531787,7.3940935575564e-21,0.00437858862329842
"GUK1",0.232283767707569,4.28085718049876e-12,5.59149790640138e-150,3.64930832302074e-06,2.22545357812486e-09,0.993504862396489,1.89739360770246e-49,1.22108792684308e-116,0.0168203786955047,2.64360950387709e-117,8.66184632958521e-06,0.62672288037279,0,1.90477089878218e-07,6.33126011092541e-111,4.59342282811323e-57,1.92923728005899e-22,0,8.73212610331366e-135,0.000111119516212304,2.52178317835887e-282,0.00400002580577135,3.73133916016411e-08,6.64264651015106e-40,0.0560258119686834,1.73268844275445e-81,1.02839256463223e-125,4.45311173502341e-10,0.0503702428220141,1.89838810766713e-09
