"","Adipose Tissue","Adrenal Gland","Blood Vessel","Bladder","Brain","Breast","Blood","Skin","Cervix Uteri","Colon","Esophagus","Fallopian Tube","Heart","Kidney","Liver","Lung","Salivary Gland","Muscle","Nerve","Ovary","Pancreas","Pituitary","Prostate","Small Intestine","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina"
"C3orf17",0.00130226323784309,2.42884836257789e-47,2.75985049389099e-08,0.0163699756998396,7.66613420897202e-273,0.0179633212252302,1.9188335284388e-20,5.6390172505495e-13,2.34212445489614e-05,3.58694527386122e-24,1.68130211741242e-37,0.0174656702236786,1.09060371726579e-08,0.0269388768309059,0.00018866332701779,0.93803924145231,0.000132766727283468,4.22614691806215e-05,0.0011809061422693,6.33516444495968e-16,1.03245118631293e-14,9.69940410104419e-21,2.36056663614214e-13,0.0138943174449289,0.677259140685772,0.468757564639509,8.00299745115355e-07,2.36287748336159e-23,0.00417169226483183,0.00027843249622092
"C9orf114",5.29368252026201e-13,0.00858858813345566,1.42597316024027e-05,0.0266639899324384,0,0.121207725990781,0.497072675109285,1.36228861114172e-91,0.000166166136665328,0.000865302108373254,0.408973297456917,0.251611662193557,0.00765734684745672,0.00200513243958584,0.120000092847545,1.64341791452796e-08,9.09590827664846e-08,0.0503514110980407,0.00393690294714398,1.27078858118767e-19,8.84708050081338e-09,0.646136647403754,5.75709379065647e-25,6.91682107060659e-06,0.144334451830824,2.17478386899113e-13,1.07533136707454e-06,3.06267382208109e-13,6.20246598211443e-09,3.10375686750793e-12
"CARS",0.0034631912557616,0.511715473499012,1.88913843332898e-27,0.000731510125229811,1.8738027753095e-05,2.87169200435429e-20,6.4698566213993e-60,0.0136641295856174,0.0202082558431957,5.97902193403012e-13,0.372720291724438,0.0277935253178551,2.42995470837771e-50,0.0550349955100145,1.75463399498468e-06,3.53567003021622e-10,3.65545454982967e-18,1.18841340479011e-12,1.89307807453609e-77,4.3561861447286e-35,0.0636876563409336,1.97313734959845e-13,0.620202170945051,1.57028689089147e-19,5.75215771282535e-06,5.46251829605832e-13,5.47805990530513e-90,5.43883171069909e-09,1.29078173744709e-10,3.05044872422938e-06
"CASC5",0.000746851693905329,0.00033790389902369,3.31506284844564e-92,0.260769854931566,1.08777194839075e-267,2.3802087812926e-21,1.44234491759409e-08,1.48705272268104e-19,0.511876510297143,0.0512286411836809,0.625590203649087,0.226179241195181,1.98138299072392e-115,0.000112272252231729,3.66408106119518e-05,0.447188790111026,1.54206648066167e-08,1.473142455121e-44,0.582303065395727,4.41411273531026e-15,0.91862477783062,1.40519974388017e-14,0.85476239247889,1.00432648151154e-27,1.01303235798033e-12,0.0773920705131083,1.53529205392332e-100,2.36096792420369e-12,0.14537466103796,0.000138302820541924
"CCDC130",1.09323892265488e-40,8.74146391524568e-15,0,0.323420898965111,3.71990566330384e-10,0.00113091193398319,2.09739136826105e-34,4.08469878436753e-64,1.83340694840836e-05,0.000733545845449797,0.0534780369336804,0.0109510440168615,2.83707186479211e-08,0.148340081392805,1.43874576467632e-10,0.159950107940115,0.67546918099289,2.74050391178793e-26,2.62135080557669e-33,0.00190202922244814,7.70661870450276e-22,0.0305631284777316,0.000745243658371741,0.00296656389615396,0.384656981560902,0.85717306125104,4.22659265622169e-21,1.58263831499659e-36,0.193025231604575,3.44093292394025e-13
"CCDC84",3.67643235352533e-25,1.68615732671159e-16,0,0.0414426252236656,1.08220087403205e-121,2.85771575801125e-20,4.15691758559685e-15,1.7421794172112e-94,0.0961343425512486,0.0722605085054284,0.984395352989609,0.00117461949441648,0.109466814744375,0.215854440713767,0.00119510370143807,0.0246197157500438,5.80234123412119e-05,3.46550812392847e-05,4.08552724815502e-09,0.0973288352362885,1.04928270161944e-16,0.00109397766892154,2.83167974184359e-08,8.33564074556814e-13,2.68969466362594e-08,0.813669433380867,1.58175479743252e-06,1.03560070054029e-09,0.0946707621094401,2.42466410882602e-08
"CCDC94",9.98381708373738e-10,3.40870417291723e-71,1.44151969164334e-21,0.349136147096218,5.09388423010892e-204,2.68836126816399e-11,0.52725820919624,3.44287056400488e-316,0.000266949125639254,0.0343428350991579,2.65593487415554e-28,0.0758450444984028,7.47462925011341e-67,0.527691319736178,6.33380948569989e-06,1.01042388269601e-06,0.0171788198356966,6.07786671334941e-08,9.04167934982907e-24,3.12783404243812e-17,1.23587840206993e-22,0.000129779822610913,0.766217015341541,0.195208819712259,5.39905980034483e-08,1.91889151760565e-11,0.000208710157935561,2.11215799840329e-39,1.31659654342136e-07,4.389294944924e-06
"CCNA2",3.50876851279015e-08,5.62417724621994e-05,9.58282330185072e-12,0.182209475908089,2.43883881978034e-80,0.960370161022511,0.00174966222024254,4.73788338400462e-31,0.165694106578604,5.02291564411486e-07,4.41452981431233e-12,0.179873350512259,5.5139577302712e-89,0.448424127002529,4.24552524921995e-23,0.0455966164960298,4.09074549896495e-07,2.164922318289e-10,5.50941825815627e-08,0.0178864129593851,0.578909052506554,0.000319112531903424,0.000196353144057856,5.46617493087872e-10,8.62336727655201e-13,0.0333399122488934,5.68732401756637e-111,3.30953839627642e-09,0.0510415503015194,1.64314362396621e-09
"CCT2",6.21165741074267e-16,0.045201286383399,1.25296741958987e-74,0.205757289430318,0.0121997779492769,1.44729690532714e-10,8.37113717104455e-15,1.55412587835175e-30,0.55684572684928,2.78518637814172e-31,0.00172377887722749,0.132639239757037,1.01457831949814e-86,0.01252577945715,1.77323099782774e-10,0.910268036682443,0.000621720323816013,0.519388043898513,7.05623403148168e-06,0.0547422156120674,5.82972148949937e-28,1.64655301572287e-13,0.921319168614924,0.00619390272967096,0.00668415379117994,4.1061064894699e-08,2.10542870217599e-86,1.40064658167956e-34,0.00240348770781759,2.95370882469667e-09
"CCT3",1.94827717436566e-170,0.44229177557053,8.6313351744245e-78,0.264840901931531,0.92638981037088,1.20026651876354e-50,4.13679892138871e-06,0.0128129001113543,0.091184598760825,0.0490780678807077,1.2217332608615e-10,0.0500758964490667,1.3918526616278e-06,0.0262160423854465,0.00126274066728581,2.76578415380019e-30,1.01560018084349e-06,0.318925089358709,0.000681540714830445,0.0215556377588894,4.2322932420266e-36,3.11380476500474e-21,6.78096434925951e-19,1.76716342243973e-08,1.92778136397862e-06,1.37318843194714e-16,7.24855744976145e-91,1.78191280456028e-42,0.000815440089080032,5.26038865716462e-08
"CCT4",2.34057025707733e-174,0.419547260221675,5.0531171299122e-313,0.263192214829658,0.764294032710612,6.2349297218783e-32,0.0282740831101626,0.0499858370556468,0.00878310019951626,5.33255811386397e-19,7.45612907084915e-58,0.172787138572367,6.6784774775193e-07,0.418229561130275,0.337369802066825,2.85507312296655e-153,1.78285207203686e-11,8.73631844347259e-10,6.35868749400614e-15,0.797986887469982,2.36224984078982e-32,4.06045680814928e-10,2.11473048569104e-31,2.12197620106768e-09,4.37270238428341e-08,3.41945089564077e-08,2.9479175958256e-64,5.832530697233e-59,0.214836639012794,7.36765110732729e-10
"CCT6A",6.01295895295132e-56,0.297266188291673,2.99611926744259e-45,0.167551461715752,0.764904210055575,2.39076839294562e-25,8.25715773727111e-25,2.20084923762354e-08,0.290984657225366,7.01553757266494e-32,1.66754048801609e-46,0.101874796076586,5.01704436440623e-05,0.000332478890153032,7.26406051268112e-06,9.76730231350264e-15,5.9042964991309e-13,0.100924930605106,0.765533847377121,2.7306195348754e-17,2.07881566302312e-41,4.85069312733978e-21,1.57375709288728e-07,3.42665134022211e-10,4.90120233720655e-18,0.0247097277779869,1.09586430399521e-27,5.7704174516002e-29,0.033033494353,0.000404477637324504
"CCT7",5.24829615005029e-15,1.7689895255675e-15,0.894331447638287,0.334288989705929,3.80153350476705e-13,6.00668076784719e-05,7.14593488241703e-19,4.45305021802425e-78,0.201913769657962,1.38225135706672e-29,2.05378151923439e-71,0.162223794556866,3.24897012235631e-09,0.0495992034376238,2.30642742985776e-14,5.83431801702181e-10,1.48886865327683e-08,1.6954035607078e-20,3.36265982586135e-12,2.51214142616301e-15,1.06974896786018e-31,0.0069042827891866,0.000391495749949815,0.0351949541123445,0.192396629088254,0.197203022291497,1.80548940144856e-59,1.22130019519628e-06,0.000244901050263823,8.26869518272453e-06
"CD3EAP",1.09161644649724e-65,4.55918723414815e-54,2.69553167196271e-280,0.0249383061629237,1.69642480737544e-131,5.56690180018861e-28,2.3775277217518e-18,4.54738623205427e-103,0.198995772872516,0.000908648915221179,1.38432761384838e-59,0.0881254649470066,3.35466779659968e-60,0.0196379265901358,3.69128254853624e-14,0.314776207741425,3.27672144210197e-07,5.07864629557048e-15,0.345594448789164,1.11527314243969e-08,2.04820365181078e-30,0.165067879834064,0.0706507616621164,4.09469573397012e-06,0.354369466422077,2.85010748188481e-09,5.57971609862481e-65,2.93273521494986e-73,0.00104974806369351,0.0188809538870609
"CDC123",3.53908051347923e-14,3.10107847836208e-51,0.904521087903235,0.00892035241624577,5.38361592779092e-155,0.00181956403370727,1.71160501124417e-29,6.47182275967525e-25,0.0130178795328713,2.38587062045551e-20,2.05351108205364e-13,0.291354059148925,1.06748537797321e-77,0.0143589020017985,6.05016033295336e-12,3.98728871588603e-07,0.0393065692702174,3.06007851407812e-13,1.17751849474028e-51,1.29421530531202e-07,2.7463231659218e-05,0.000103250128701994,2.40233285249786e-09,0.952752553444943,4.834195305985e-19,0.0439148965468252,0.0570648744587113,1.67572855159099e-38,1.34348779172079e-14,2.98095450498093e-10
"CDC16",1.79239949153395e-71,2.20005216520603e-47,2.73474397646932e-214,0.502671003479148,6.637428559158e-104,1.35087306612161e-15,5.43797971054272e-07,1.68627228265004e-34,6.28558948532952e-05,2.65563526993013e-05,4.72392599286821e-20,0.763870715646484,0.000891075408435673,0.130782061873432,4.00387333589464e-06,0.0691029972454393,0.0272261505443655,0.165103408460482,5.03901845352612e-15,4.25955777853587e-16,9.12428373398726e-05,1.48200950495023e-10,4.21152702547747e-05,7.31267661910297e-07,4.96268917428821e-12,0.0476994999536576,5.46401465988196e-09,1.16935024828571e-99,0.554259792121547,0.101853895592764
"CDC20",0.00763055947695063,0.0434483120159828,4.87902630079867e-113,0.22520568922572,1.32386406027603e-08,8.91667178370488e-08,2.82802134927919e-06,4.09570543304838e-13,0.630601783221713,0.323893618518037,0.418408985451842,0.0653059530881565,2.92543063020836e-172,0.147201717488259,4.63404568170983e-16,4.54775005225132e-30,1.42064312538098e-09,1.40218685656205e-12,3.08149807335792e-12,2.85567555739486e-16,0.00439126591849527,0.0027516174461505,5.41714514056217e-06,1.23375395136268e-10,2.21819564765724e-06,0.073514605230524,6.6755482790697e-120,0.166832221932348,0.00415528878102792,5.88258245138708e-07
"CDC5L",0.0001565542710911,2.12922630318089e-38,2.04564537887293e-132,0.919909278618413,1.44378738629004e-54,4.29633410083602e-19,0.0137232532786237,7.78129623160219e-194,0.0103268322748369,0.000781798272400855,1.67780570978421e-123,0.244866796837637,3.66931741749943e-07,0.397926804927179,1.18923286133401e-09,1.71110528954142e-28,0.0367466759441783,1.11517260397743e-55,0.127893358480818,6.43808847310664e-18,0.151542519115386,0.0129167756654178,0.423974326349183,0.643071668137368,1.07078364992554e-14,0.270546203914769,1.87210780241957e-05,9.17066533295348e-16,3.49646755907931e-14,6.14483921070361e-05
"CDC6",2.7809974922113e-07,0.38423382728367,2.80629514105652e-43,0.113840095170101,1.40911255832784e-10,0.000297953343213859,0.113039582663468,3.57345430522034e-22,0.284427401512804,2.31991881564576e-15,0.000218168242056269,0.137740735169017,3.79232119433088e-84,0.180845290375015,0.000103756704836286,1.39872804209489e-08,6.43560926011568e-13,0.92331463513244,0.0303956957654721,1.15960601235283e-12,5.95756072465086e-15,7.07563231728863e-15,0.379271136283137,1.06329088924362e-07,8.50401958872018e-07,8.21036040664492e-09,7.47078081295729e-90,4.52004309980802e-07,0.187049984641848,6.62959883630455e-10
