"","x"
"1037","ATP2B1"
"1038","ATP2B2"
"1039","ATP2B3"
"1040","ATP2B4"
"1041","ATP2C1"
"1042","ATP2C2"
"1043","ATP4A"
"1044","ATP4B"
"1045","ATP5D"
"1046","ATP5G1"
"1047","ATP5G2"
"1048","ATP5G3"
"1049","ATP5I"
"1050","ATP5S"
"1051","ATP5SL"
"1052","ATP6V0A1"
"1053","ATP6V0A2"
"1054","ATP6V0A4"
"1055","ATP6V0D2"
"1056","ATP6V0E1"
"1057","ATP6V0E2"
"1058","ATP6V1B1"
"1059","ATP6V1C1"
"1060","ATP6V1C2"
"1061","ATP6V1E2"
"1062","ATP6V1G2"
"1063","ATP6V1G3"
"1064","ATP6V1H"
"1065","ATP7A"
"1066","ATP7B"
"1067","ATP8A1"
"1068","ATP8A2"
"1069","ATP8B2"
"1070","ATP8B3"
"1071","ATP9A"
"1072","ATP9B"
"1073","ATPBD4"
"1074","ATPIF1"
"1075","ATRAID"
"1076","ATRN"
"1077","ATRNL1"
"1078","ATXN1"
"1079","ATXN1L"
"1080","ATXN2"
"1081","ATXN2L"
"1082","ATXN3"
"1083","ATXN3L"
"1084","ATXN7"
"1085","ATXN7L1"
"1086","ATXN7L2"
"1087","ATXN7L3"
"1088","ATXN7L3B"
"1089","AUH"
"1090","AUNIP"
"1091","AUP1"
"1092","AURKAIP1"
"1093","AURKC"
"1094","AUTS2"
"1095","AVEN"
"1096","AVIL"
"1097","AVL9"
"1098","AVPI1"
"1099","AVPR1A"
"1100","AVPR1B"
"1101","AVPR2"
"1102","AWAT1"
"1103","AWAT2"
"1104","AXDND1"
"1105","AXIN1"
"1106","AXIN2"
"1107","AXL"
"1108","AZGP1"
"1109","AZI1"
"1110","AZI2"
"1111","AZU1"
"1112","B2M"
"1113","B3GALNT1"
"1114","B3GALNT2"
"1115","B3GALT2"
"1116","B3GALT4"
"1117","B3GALT5"
"1118","B3GALT6"
"1119","B3GALTL"
"1120","B3GAT1"
"1121","B3GAT2"
"1122","B3GAT3"
"1123","B3GNT1"
"1124","B3GNT3"
"1125","B3GNT4"
"1126","B3GNT5"
"1127","B3GNT7"
"1128","B3GNT8"
"1129","B3GNT9"
"1130","B3GNTL1"
"1131","B4GALNT1"
"1132","B4GALNT2"
"1133","B4GALNT3"
"1134","B4GALNT4"
"1135","B4GALT1"
"1136","B4GALT2"
"1137","B4GALT3"
"1138","B4GALT4"
"1139","B4GALT6"
"1140","B4GALT7"
"1141","B9D1"
"1142","B9D2"
"1143","BAALC"
"1144","BABAM1"
"1145","BACE1"
"1146","BACE2"
"1147","BACH1"
"1148","BACH2"
"1149","BAD"
"1150","BAG2"
"1151","BAG3"
"1152","BAG4"
"1153","BAG5"
"1154","BAG6"
"1155","BAI2"
"1156","BAI3"
"1157","BAIAP2"
"1158","BAIAP2L1"
"1159","BAIAP2L2"
"1160","BAIAP3"
"1161","BAK1"
"1162","BAMBI"
"1163","BANF2"
"1164","BANK1"
"1165","BARHL1"
"1166","BARHL2"
"1167","BARX1"
"1168","BARX2"
"1169","BASP1"
"1170","BATF"
"1171","BATF2"
"1172","BATF3"
"1173","BAX"
"1174","BAZ1A"
